epoch,train_loss,valid_loss
0,0.7131845242381096,0.7175042111806571
1,0.5618954858444631,0.5671434867564124
2,0.4832302363726776,0.49765539379650725
3,0.4568115058655385,0.45569301475891844
4,0.42077807823428887,0.44844828943124737
5,0.3984053574621212,0.398809037224506
6,0.3692399536765006,0.38961583917598475
7,0.3328774176897714,0.3850131521060364
8,0.3543657720701012,0.368954623988166
9,0.32209172947763,0.35259767772435735
10,0.3374238498486811,0.34897220378335914
11,0.3284874831707275,0.35658869733889587
