epoch,train_loss,valid_loss
0,0.33791820011008533,0.30063651314433665
1,0.23994436116947326,0.20504638341795653
2,0.17618893257854507,0.15579743949029362
3,0.14081582777461155,0.1226266104289447
4,0.1290177900924755,0.10236736601328011
5,0.10797579239166226,0.09071590961807816
6,0.09840858375524113,0.0801822779088805
7,0.08171566218848603,0.0719022734406637
8,0.08951469686548807,0.06663637143565429
9,0.06848845139407786,0.06324199914647033
10,0.06960547948438761,0.057881398833279675
11,0.06992979855114573,0.05492475480145004
12,0.05547208904214858,0.05255785359062938
13,0.06909385329137785,0.050505081936163335
14,0.062235704518105193,0.047818845962716294
15,0.05635175077298118,0.046939079411660714
16,0.04846286941091853,0.04582392070159003
17,0.039357491629118155,0.04190774832626566
18,0.04763280168143683,0.04145385715722259
19,0.04792715066551136,0.04048565284296237
20,0.04681924444244032,0.039725240403822956
21,0.04205652109084804,0.038163359793599104
22,0.0418889081100242,0.037259929119925934
23,0.032073808777080104,0.03738363641744891
